index                                                              docs.count store.size health
.internal.alerts-default.alerts-default-000001                              0       498b green
.internal.alerts-ml.anomaly-detection-health.alerts-default-000001          0       498b green
.internal.alerts-ml.anomaly-detection.alerts-default-000001                 0       498b green
.internal.alerts-observability.apm.alerts-default-000001                    0       498b green
.internal.alerts-observability.logs.alerts-default-000001                   0       498b green
.internal.alerts-observability.metrics.alerts-default-000001                0       498b green
.internal.alerts-observability.slo.alerts-default-000001                    0       498b green
.internal.alerts-observability.threshold.alerts-default-000001              0       498b green
.internal.alerts-observability.uptime.alerts-default-000001                 0       498b green
.internal.alerts-security.alerts-default-000001                             0       498b green
.internal.alerts-stack.alerts-default-000001                                0       498b green
.internal.alerts-transform.health.alerts-default-000001                     0       498b green
logs-000001                                                                 2     44.9kb green
zeek-2026.03.17                                                             2    117.2kb green
